timestamp,temp_werkelijk_C,druk_werkelijk_bar,debiet_werkelijk_kgh,niveau_werkelijk_pct,T1_thermokoppel_C,T1_status,T2_RTD_C,T2_status,T3_IR_C,T3_status,T4_thermistor_C,T4_status,P1_capacitief_bar,P1_status,P2_piezo_bar,P2_status,P3_bourdon_bar,P3_status,F1_coriolis_kgh,F1_status,F2_vortex_kgh,F2_status,F3_DP_kgh,F3_status,L1_radar_pct,L1_status,L2_DP_pct,L2_status
2025-10-01 00:00:00,150.0,4.997,99.7,60.1,149.4,ok,150.4,ok,150.1,ok,151.0,ok,4.948,ok,5.045,ok,5.095,ok,99.6,ok,95.8,ok,102.3,ok,59.2,ok,60.1,ok
2025-10-01 01:00:00,151.04,5.036,103.0,61.3,150.9,ok,151.07,ok,150.1,ok,153.0,ok,5.007,ok,5.094,ok,4.903,ok,104.4,ok,103.8,ok,105.2,ok,61.6,ok,59.7,ok
2025-10-01 02:00:00,152.18,5.082,107.0,62.5,155.8,ok,152.47,ok,151.8,ok,154.2,ok,5.039,ok,5.131,ok,5.101,ok,106.7,ok,108.3,ok,105.2,ok,69.1,schuim,61.3,ok
2025-10-01 03:00:00,153.26,5.14,111.5,63.9,156.3,ok,150.5,ok,153.0,ok,154.7,ok,5.172,ok,5.075,ok,5.227,ok,111.4,ok,109.9,ok,110.6,ok,63.3,ok,62.1,ok
2025-10-01 04:00:00,154.04,5.168,113.7,64.9,153.8,ok,151.22,ok,153.7,ok,154.6,ok,5.131,ok,5.136,ok,4.893,ok,114.2,ok,108.3,ok,112.5,ok,66.0,ok,63.8,ok
2025-10-01 05:00:00,154.81,5.218,114.7,66.0,155.9,ok,151.89,ok,154.5,ok,153.4,ok,5.172,ok,5.079,ok,5.175,ok,113.8,ok,117.8,ok,111.0,ok,66.4,ok,67.2,ok
2025-10-01 06:00:00,155.27,5.234,115.0,66.9,156.6,ok,153.2,ok,154.5,ok,157.5,ok,5.225,ok,5.224,ok,5.289,ok,116.0,ok,114.4,ok,115.5,ok,66.9,ok,67.9,ok
2025-10-01 07:00:00,155.28,5.279,114.2,67.9,154.4,ok,153.48,ok,155.6,ok,155.6,ok,5.324,ok,5.233,ok,5.336,ok,115.2,ok,115.0,ok,112.0,ok,68.1,ok,67.9,ok
2025-10-01 08:00:00,155.55,5.312,114.3,68.4,151.2,ok,154.51,ok,154.8,ok,153.3,ok,5.359,ok,5.261,ok,5.23,ok,113.8,ok,114.1,ok,113.8,ok,68.1,ok,68.1,ok
2025-10-01 09:00:00,155.33,5.36,110.1,69.1,156.2,ok,155.61,ok,154.7,ok,160.1,ok,5.438,ok,5.422,ok,5.435,ok,111.6,ok,108.6,ok,113.3,ok,68.2,ok,70.7,ok
