timestamp,batch_id,tijd_sec,inlet_lucht_temp_C,inlet_lucht_temp_sp_C,outlet_lucht_temp_C,product_temp_C,outlet_luchtvochtigheid_pct,drukval_mbar,luchtdebiet_m3h,bedmassa_kg,vochtgehalte_pct,NIR_vochtgehalte_pct,droogsnelheid_pctmin,energie_kW,fase
2025-02-01 00:00:00,DRY-000,0,59.5,60,38.6,35.9,44.7,19.9,1050.0,114.0,30.47,30.62,0.1164,17.89,opwarmen
2025-02-01 00:00:30,DRY-000,30,59.9,60,39.4,36.4,46.3,20.3,1052.0,114.0,30.25,,0.1155,18.67,opwarmen
2025-02-01 00:01:00,DRY-000,60,60.4,60,40.1,36.9,43.6,20.7,1043.0,114.0,29.96,,0.1143,18.49,opwarmen
2025-02-01 00:01:30,DRY-000,90,60.4,60,40.8,38.1,45.7,20.0,1055.0,114.0,29.96,,0.1143,18.83,opwarmen
2025-02-01 00:02:00,DRY-000,120,59.5,60,39.4,36.3,44.0,19.6,1032.0,114.0,29.88,,0.114,17.95,opwarmen
2025-02-01 00:02:30,DRY-000,150,58.6,60,38.7,35.8,44.4,20.1,1023.0,114.0,29.62,,0.1129,17.34,opwarmen
2025-02-01 00:03:00,DRY-000,180,59.0,60,39.5,36.5,44.5,19.1,1035.0,114.0,29.34,,0.1117,17.59,opwarmen
2025-02-01 00:03:30,DRY-000,210,60.3,60,40.6,37.6,43.6,20.1,1034.0,114.0,29.45,,0.1122,18.16,opwarmen
2025-02-01 00:04:00,DRY-000,240,60.2,60,40.3,37.1,43.6,19.9,1037.0,114.0,29.5,,0.1124,18.29,opwarmen
2025-02-01 00:04:30,DRY-000,270,60.2,60,40.4,37.3,44.0,19.7,1043.0,114.0,29.39,,0.112,18.59,opwarmen
2025-02-01 00:05:00,DRY-000,300,59.9,60,40.5,37.2,43.3,19.4,1022.0,114.0,29.32,29.2,0.1117,17.8,constant_rate
2025-02-01 00:05:30,DRY-000,330,60.7,60,41.0,38.1,44.9,20.2,1050.0,114.0,29.36,,0.1118,19.01,constant_rate
2025-02-01 00:06:00,DRY-000,360,59.6,60,39.8,36.9,44.1,19.5,1021.0,114.0,29.47,,0.1123,18.08,constant_rate
2025-02-01 00:06:30,DRY-000,390,60.3,60,41.7,38.6,45.1,19.5,1041.0,114.0,29.09,,0.1107,18.41,constant_rate
2025-02-01 00:07:00,DRY-000,420,59.8,60,40.7,37.4,45.4,19.4,1052.0,114.0,29.14,,0.1109,18.11,constant_rate
2025-02-01 00:07:30,DRY-000,450,59.9,60,40.5,37.4,42.8,19.9,1028.0,114.0,28.63,,0.1088,18.02,constant_rate
2025-02-01 00:08:00,DRY-000,480,60.2,60,41.1,38.4,45.7,19.9,1047.0,114.0,28.78,,0.1094,18.79,constant_rate
2025-02-01 00:08:30,DRY-000,510,59.9,60,41.2,38.2,45.9,20.3,1044.0,114.0,28.98,,0.1103,18.13,constant_rate
2025-02-01 00:09:00,DRY-000,540,59.3,60,39.8,36.8,42.6,20.0,1037.0,114.0,28.63,,0.1088,17.88,constant_rate
2025-02-01 00:09:30,DRY-000,570,59.9,60,40.9,37.7,44.9,20.3,1053.0,114.0,28.61,,0.1087,18.2,constant_rate
2025-02-01 00:10:00,DRY-000,600,60.7,60,41.3,37.9,45.1,20.0,1039.0,114.0,28.57,28.82,0.1085,18.43,constant_rate
2025-02-01 00:10:30,DRY-000,630,59.2,60,39.7,36.8,44.3,20.0,1036.0,114.0,28.6,,0.1087,17.81,constant_rate
2025-02-01 00:11:00,DRY-000,660,59.8,60,40.6,37.6,43.4,20.5,1048.0,114.0,29.34,,0.1118,18.32,constant_rate
2025-02-01 00:11:30,DRY-000,690,60.1,60,41.2,38.1,42.9,19.5,1052.0,114.0,28.62,,0.1088,18.47,constant_rate
2025-02-01 00:12:00,DRY-000,720,61.1,60,41.9,38.6,42.9,19.4,1035.0,114.0,28.73,,0.1092,18.39,constant_rate
2025-02-01 00:12:30,DRY-000,750,59.6,60,39.9,36.8,44.5,19.7,1055.0,114.0,28.59,,0.1086,18.29,constant_rate
2025-02-01 00:13:00,DRY-000,780,59.7,60,40.8,37.7,42.3,19.7,1043.0,114.0,28.22,,0.1071,18.37,constant_rate
2025-02-01 00:13:30,DRY-000,810,59.8,60,40.6,37.6,43.3,19.6,1042.0,114.0,28.43,,0.108,18.15,constant_rate
2025-02-01 00:14:00,DRY-000,840,59.7,60,41.2,38.1,41.8,19.4,1038.0,114.0,27.92,,0.1059,17.82,constant_rate
2025-02-01 00:14:30,DRY-000,870,58.7,60,40.2,37.2,43.7,19.6,1057.0,114.0,28.21,,0.107,17.76,constant_rate
2025-02-01 00:15:00,DRY-000,900,59.6,60,41.3,38.0,42.5,20.1,1045.0,114.0,27.97,26.76,0.106,18.42,constant_rate
2025-02-01 00:15:30,DRY-000,930,60.8,60,41.6,38.1,42.6,19.7,1038.0,114.0,28.17,,0.1069,18.3,constant_rate
2025-02-01 00:16:00,DRY-000,960,59.6,60,40.4,37.4,41.9,19.7,1044.0,114.0,27.96,,0.106,17.71,constant_rate
2025-02-01 00:16:30,DRY-000,990,59.7,60,40.8,37.9,43.9,19.7,1031.0,114.0,28.38,,0.1078,17.86,constant_rate
2025-02-01 00:17:00,DRY-000,1020,59.7,60,41.0,38.0,45.7,19.0,1040.0,114.0,27.99,,0.1061,17.87,constant_rate
2025-02-01 00:17:30,DRY-000,1050,61.1,60,42.7,40.0,42.3,19.5,1046.0,114.0,27.73,,0.1051,18.99,constant_rate
2025-02-01 00:18:00,DRY-000,1080,59.6,60,41.1,38.1,42.4,19.7,1047.0,114.0,27.64,,0.1047,18.12,constant_rate
2025-02-01 00:18:30,DRY-000,1110,59.8,60,41.4,38.2,42.5,19.6,1048.0,114.0,27.64,,0.1047,18.07,constant_rate
2025-02-01 00:19:00,DRY-000,1140,59.3,60,40.5,37.7,43.1,19.5,1037.0,114.0,28.03,,0.1063,18.06,constant_rate
2025-02-01 00:19:30,DRY-000,1170,58.9,60,40.3,37.4,42.6,19.0,1037.0,114.0,27.23,,0.103,17.43,constant_rate
2025-02-01 00:20:00,DRY-000,1200,60.2,60,41.8,38.7,42.7,20.1,1051.0,114.0,28.04,28.39,0.1063,18.8,constant_rate
2025-02-01 00:20:30,DRY-000,1230,59.6,60,41.6,38.6,43.1,19.7,1019.0,114.0,27.14,,0.1026,17.43,constant_rate
2025-02-01 00:21:00,DRY-000,1260,59.6,60,41.3,38.2,43.0,19.5,1031.0,114.0,27.57,,0.1044,17.67,constant_rate
2025-02-01 00:21:30,DRY-000,1290,60.5,60,42.2,39.6,42.6,19.8,1020.0,114.0,27.42,,0.1038,18.14,constant_rate
2025-02-01 00:22:00,DRY-000,1320,59.7,60,41.1,38.0,43.7,18.4,1024.0,114.0,27.63,,0.1046,17.53,constant_rate
2025-02-01 00:22:30,DRY-000,1350,59.9,60,41.7,39.1,41.7,19.4,1036.0,114.0,27.52,,0.1042,18.19,constant_rate
2025-02-01 00:23:00,DRY-000,1380,61.0,60,42.7,39.7,44.5,19.6,1039.0,114.0,27.44,,0.1038,18.9,constant_rate
2025-02-01 00:23:30,DRY-000,1410,60.5,60,42.9,39.6,40.8,19.3,1037.0,114.0,26.72,,0.1008,18.38,constant_rate
2025-02-01 00:24:00,DRY-000,1440,60.4,60,41.8,38.7,42.0,19.5,1036.0,114.0,27.91,,0.1058,18.41,constant_rate
2025-02-01 00:24:30,DRY-000,1470,59.4,60,41.3,38.2,42.4,19.4,1026.0,114.0,27.28,,0.1032,17.84,constant_rate
2025-02-01 00:25:00,DRY-000,1500,60.8,60,42.7,39.6,38.9,19.1,1042.0,114.0,26.82,26.99,0.1013,18.8,constant_rate
2025-02-01 00:25:30,DRY-000,1530,58.7,60,40.8,38.0,41.2,19.9,1037.0,114.0,27.02,,0.1021,16.95,constant_rate
2025-02-01 00:26:00,DRY-000,1560,60.2,60,41.6,38.5,42.1,19.3,1040.0,114.0,27.15,,0.1026,18.4,constant_rate
